time,real_water_level,twin_water_level,estimated_coeff,error
1.0,2.2458,2.8114,0.2057,0.5657
2.0,2.4465,3.5816,0.217,1.135
3.0,2.6123,4.3078,0.234,1.6955
4.0,2.7503,4.984,0.2563,2.2337
5.0,2.8658,5.6026,0.2837,2.7368
6.0,2.963,6.155,0.3156,3.192
7.0,3.0449,6.633,0.3515,3.5881
8.0,3.1143,7.0295,0.3906,3.9153
9.0,3.1731,7.3391,0.4323,4.166
10.0,3.223,7.5584,0.4756,4.3353
11.0,3.2656,7.6866,0.5198,4.4211
12.0,3.3018,7.7258,0.5641,4.424
13.0,3.3327,7.6805,0.6076,4.3478
14.0,3.359,7.558,0.6496,4.199
15.0,3.3816,7.3675,0.6894,3.9859
16.0,3.4008,7.12,0.7266,3.7192
17.0,3.4173,6.8274,0.7607,3.4102
18.0,3.4314,6.5023,0.7914,3.071
19.0,3.4434,6.1569,0.8185,2.7135
20.0,3.4537,5.8029,0.842,2.3491
21.0,3.4626,5.4506,0.8619,1.988
22.0,3.4702,5.1091,0.8783,1.6389
23.0,3.4766,4.7856,0.8914,1.3089
24.0,3.4822,4.4856,0.9014,1.0034
25.0,3.487,4.2128,0.9087,0.7258
26.0,3.4911,3.9694,0.9135,0.4783
27.0,3.4946,3.7561,0.9161,0.2615
28.0,3.4976,3.5725,0.9168,0.0749
29.0,3.5001,3.4172,0.916,-0.0829
30.0,3.5023,3.2883,0.9139,-0.214
31.0,3.5042,3.1835,0.9107,-0.3207
32.0,3.5058,3.1003,0.9066,-0.4056
33.0,3.5072,3.0361,0.9019,-0.4712
34.0,3.5084,2.9884,0.8967,-0.52
35.0,3.5095,2.955,0.8912,-0.5545
36.0,3.5103,2.9337,0.8854,-0.5766
37.0,3.5111,2.9227,0.8795,-0.5884
38.0,3.5117,2.9203,0.8736,-0.5914
39.0,3.5123,2.9251,0.8677,-0.5872
40.0,3.5128,2.9357,0.8619,-0.577
41.0,3.5132,2.9512,0.8563,-0.562
42.0,3.5135,2.9704,0.8509,-0.5431
43.0,3.5138,2.9928,0.8457,-0.5211
44.0,3.5141,3.0174,0.8407,-0.4966
45.0,3.5143,3.0438,0.836,-0.4705
46.0,3.5145,3.0715,0.8316,-0.443
47.0,3.5146,3.0999,0.8274,-0.4148
48.0,3.5148,3.1287,0.8236,-0.3861
49.0,3.5149,3.1575,0.82,-0.3574
50.0,3.515,3.1861,0.8167,-0.3289
51.0,3.5151,3.2142,0.8137,-0.3009
52.0,3.0485,2.775,0.811,-0.2735
53.0,2.6506,2.4077,0.8085,-0.2429
54.0,2.3157,2.1047,0.8064,-0.211
55.0,2.0374,1.858,0.8046,-0.1794
56.0,1.8095,1.6602,0.8031,-0.1493
57.0,1.6254,1.5036,0.8019,-0.1218
58.0,1.4788,1.3814,0.801,-0.0974
59.0,1.3635,1.2871,0.8002,-0.0764
60.0,1.2741,1.2153,0.7996,-0.0588
61.0,1.2054,1.1609,0.7992,-0.0445
62.0,1.1532,1.1202,0.7988,-0.033
63.0,1.1138,1.0899,0.7986,-0.0239
64.0,1.0843,1.0674,0.7984,-0.0168
65.0,1.0623,1.0508,0.7983,-0.0114
66.0,1.0459,1.0386,0.7982,-0.0073
67.0,1.0338,1.0296,0.7982,-0.0042
68.0,1.0249,1.023,0.7982,-0.0019
69.0,1.0183,1.0181,0.7982,-0.0001
70.0,1.0134,1.0146,0.7982,0.0011
71.0,1.0099,1.0119,0.7982,0.0021
72.0,1.0072,1.01,0.7982,0.0027
73.0,1.0053,1.0085,0.7983,0.0032
74.0,1.0039,1.0074,0.7983,0.0035
75.0,1.0029,1.0066,0.7983,0.0037
76.0,1.0021,1.0059,0.7984,0.0038
77.0,1.0015,1.0054,0.7984,0.0039
78.0,1.0011,1.0051,0.7984,0.0039
79.0,1.0008,1.0048,0.7985,0.0039
80.0,1.0006,1.0045,0.7985,0.0039
81.0,1.0004,1.0043,0.7986,0.0038
82.0,1.0003,1.0041,0.7986,0.0038
83.0,1.0002,1.0039,0.7986,0.0037
84.0,1.0002,1.0038,0.7987,0.0036
85.0,1.0001,1.0037,0.7987,0.0035
86.0,1.0001,1.0036,0.7987,0.0035
87.0,1.0001,1.0034,0.7988,0.0034
88.0,1.0001,1.0033,0.7988,0.0033
89.0,1.0,1.0032,0.7988,0.0032
90.0,1.0,1.0032,0.7989,0.0031
91.0,1.0,1.0031,0.7989,0.003
92.0,1.0,1.003,0.7989,0.003
93.0,1.0,1.0029,0.799,0.0029
94.0,1.0,1.0028,0.799,0.0028
95.0,1.0,1.0027,0.799,0.0027
96.0,1.0,1.0027,0.799,0.0027
97.0,1.0,1.0026,0.7991,0.0026
98.0,1.0,1.0025,0.7991,0.0025
99.0,1.0,1.0025,0.7991,0.0024
100.0,1.0,1.0024,0.7991,0.0024
101.0,1.0,1.0023,0.7992,0.0023
102.0,1.8,1.8023,0.7992,0.0023
103.0,2.4178,2.4203,0.7992,0.0025
104.0,2.9218,2.9247,0.7992,0.0029
105.0,3.3435,3.3468,0.7993,0.0033
106.0,3.7016,3.7053,0.7993,0.0037
107.0,4.0089,4.0129,0.7994,0.0041
108.0,4.2743,4.2787,0.7994,0.0044
109.0,4.505,4.5097,0.7994,0.0047
110.0,4.7064,4.7112,0.7995,0.0049
111.0,4.8827,4.8877,0.7995,0.005
112.0,5.0375,5.0426,0.7996,0.0051
113.0,5.1738,5.1789,0.7996,0.0051
114.0,5.294,5.299,0.7997,0.005
115.0,5.4002,5.4051,0.7997,0.0049
116.0,5.4942,5.4989,0.7998,0.0047
117.0,5.5774,5.5819,0.7998,0.0045
118.0,5.6512,5.6554,0.7999,0.0043
119.0,5.7167,5.7206,0.7999,0.004
120.0,5.7748,5.7785,0.8,0.0037
121.0,5.8265,5.8298,0.8,0.0033
122.0,5.8725,5.8754,0.8,0.003
123.0,5.9134,5.916,0.8,0.0026
124.0,5.9498,5.952,0.8001,0.0023
125.0,5.9822,5.9841,0.8001,0.0019
126.0,6.0111,6.0126,0.8001,0.0015
127.0,6.0368,6.038,0.8001,0.0012
128.0,6.0597,6.0606,0.8001,0.0009
129.0,6.0802,6.0808,0.8001,0.0006
130.0,6.0984,6.0987,0.8001,0.0003
131.0,6.1147,6.1148,0.8001,0.0001
132.0,6.1292,6.129,0.8001,-0.0002
133.0,6.1422,6.1418,0.8001,-0.0004
134.0,6.1537,6.1532,0.8001,-0.0005
135.0,6.164,6.1633,0.8001,-0.0007
136.0,6.1732,6.1724,0.8001,-0.0008
137.0,6.1814,6.1805,0.8001,-0.0009
138.0,6.1888,6.1878,0.8001,-0.001
139.0,6.1953,6.1943,0.8001,-0.001
140.0,6.2012,6.2001,0.8001,-0.001
141.0,6.2064,6.2054,0.8001,-0.001
142.0,6.211,6.21,0.8,-0.001
143.0,6.2152,6.2142,0.8,-0.001
144.0,6.2189,6.218,0.8,-0.0009
145.0,6.2222,6.2213,0.8,-0.0009
146.0,6.2252,6.2244,0.8,-0.0008
147.0,6.2279,6.2271,0.8,-0.0008
148.0,6.2302,6.2295,0.8,-0.0007
149.0,6.2323,6.2317,0.8,-0.0006
150.0,6.2342,6.2337,0.8,-0.0005
151.0,6.2359,6.2355,0.8,-0.0005
152.0,5.7041,5.7037,0.8,-0.0004
153.0,5.2303,5.23,0.8,-0.0003
154.0,4.8106,4.8104,0.8,-0.0002
155.0,4.4408,4.4407,0.8,-0.0002
156.0,4.1169,4.1168,0.8,-0.0001
157.0,3.8348,3.8347,0.8,-0.0
158.0,3.5904,3.5904,0.8,0.0
159.0,3.3798,3.3798,0.8,0.0
160.0,3.1993,3.1994,0.8,0.0001
161.0,3.0453,3.0454,0.8,0.0001
162.0,2.9146,2.9147,0.8,0.0001
163.0,2.8041,2.8042,0.8,0.0001
164.0,2.711,2.7112,0.8,0.0001
165.0,2.6329,2.633,0.8,0.0001
166.0,2.5675,2.5676,0.8,0.0001
167.0,2.5129,2.513,0.8,0.0001
168.0,2.4675,2.4676,0.8,0.0001
169.0,2.4297,2.4298,0.8,0.0001
170.0,2.3984,2.3985,0.8,0.0001
171.0,2.3724,2.3725,0.8,0.0001
172.0,2.3509,2.351,0.8,0.0001
173.0,2.3332,2.3333,0.8,0.0001
174.0,2.3185,2.3186,0.8,0.0001
175.0,2.3064,2.3065,0.8,0.0001
176.0,2.2965,2.2966,0.8,0.0001
177.0,2.2882,2.2883,0.8,0.0001
178.0,2.2815,2.2816,0.8,0.0001
179.0,2.2759,2.276,0.8,0.0001
180.0,2.2713,2.2714,0.8,0.0001
181.0,2.2675,2.2676,0.8,0.0001
182.0,2.2644,2.2645,0.8,0.0001
183.0,2.2619,2.2619,0.8,0.0001
184.0,2.2598,2.2598,0.8,0.0
185.0,2.258,2.2581,0.8,0.0
186.0,2.2566,2.2566,0.8,0.0
187.0,2.2554,2.2555,0.8,0.0
188.0,2.2545,2.2545,0.8,0.0
189.0,2.2537,2.2537,0.8,0.0
190.0,2.253,2.253,0.8,0.0
191.0,2.2525,2.2525,0.8,0.0
192.0,2.252,2.2521,0.8,0.0
193.0,2.2517,2.2517,0.8,0.0
194.0,2.2514,2.2514,0.8,0.0
195.0,2.2511,2.2512,0.8,0.0
196.0,2.2509,2.2509,0.8,0.0
197.0,2.2508,2.2508,0.8,0.0
198.0,2.2506,2.2506,0.8,0.0
199.0,2.2505,2.2505,0.8,0.0
200.0,2.2504,2.2504,0.8,0.0
